Algorithm,Dataset,Best_EPS,Best_Threads,Best_Type,Best_Size
CECI,enron,122132929.48044653,1,dense,8
CECI,dblp,29981411.52485459,1,dense,8
CECI,livejournal,1092626.3021373956,1,dense,8
CECI,roadnet,8767161.71906507,1,dense,8
SLF,enron,867131.2960000001,8,sparse,8
SLF,dblp,18266096.31254061,64,sparse,32
SLF,livejournal,15048961.47,48,dense,16
SLF,roadnet,5025758.181818182,32,dense,8
VF3-O,enron,190131.0594340231,8,dense,8
VF3-O,dblp,59331.80293130849,16,sparse,8
VF3-O,livejournal,9.5625,64,dense,8
VF3-O,roadnet,1245.93,16,dense,8
